"","acession","latin","date","Vcmax","Jmax","Rd"
"1","60453A","Brosimum_alicastrum","2/24/2018",27.2484120389775,68.0855033213286,1.29827445823441
"2","941044c","Brosimum_alicastrum","2/17/2018",44.933862600242,74.7738046520399,0.820199771078972
"3","941044c.2","Brosimum_alicastrum","2/17/2018",50.1108931031853,110.710563212413,0.623092070711995
"4","X.1-324c","Brosimum_alicastrum","2/24/2018",8.8613163204049,32.6972131868768,1.32341679079465
"5","2002-0669*C","Bulnesia_arborea","2/25/2018",52.5757674865853,206.400939314622,3.70685134012171
"6","X.13-90","Bulnesia_arborea","2/25/2018",55.1582956233538,146.151951642773,3.57430396483044
"7","10","Bursera_simarouba","2/25/2018",29.7026105856603,73.8187840807463,1.65472320748961
"8","10.2","Bursera_simarouba","2/25/2018",37.5768917179792,86.0546135261824,2.558567240181
"9","11","Bursera_simarouba","2/25/2018",47.3141571310445,91.7506118320259,1.86457883424381
"10","11.2","Bursera_simarouba","2/25/2018",37.198940795163,76.7306356389631,1.67279253542229
"11","2003-0584Q","Callicarpa_americana","2/17/2018",62.4177453732865,180.040464873347,0.65942370202652
"12","2003-0585*M","Callicarpa_americana","2/23/2018",60.5006449680972,153.927894632926,-0.459105277892186
"13","2003-0585*M.2","Callicarpa_americana","2/23/2018",34.6268283509597,94.0492912060711,-1.05810984429746
"14","1","Ceiba_petranda","2/17/2018",35.2512244287061,81.1977618080658,0.563164468972194
"15","8","Ceiba_petranda","2/24/2018",46.6712284246963,107.927453000319,1.13987249439889
"16","991538A","Ceiba_petranda","2/24/2018",73.6676995367493,128.840745549416,1.66470109892559
"17","991538A.2","Ceiba_petranda","2/24/2018",72.5169529234621,134.148861413769,1.91218222072004
"18","137","Couroupita_guianensis","2/24/2018",73.6368502755823,141.083645319927,0.197905525352297
"19","137.2","Couroupita_guianensis","2/24/2018",74.2995732691876,150.87914858415,0.304346348226038
"20","92213B","Couroupita_guianensis","2/24/2018",16.8333080709784,54.0218574570229,1.70202861284865
"21","X.1-489A","Couroupita_guianensis","2/22/2018",37.039738530449,106.039241239247,8.60930031198267
"22","5","Dodonea_viscosa","2/22/2018",43.0256622816131,130.236944852017,15.920220543992
"23","6","Dodonea_viscosa","2/23/2018",60.234045233385,125.821147542861,10.1039275851805
"24","6.2","Dodonea_viscosa","2/23/2018",85.2679689015875,161.933379497037,-0.979542225580825
"25","7","Dodonea_viscosa","2/23/2018",62.7758125297756,143.055847256603,-0.423223556301613
"26","2007-0553*B.2","Enterolobium_cyclocarpum","2/24/2018",16.9626848067061,77.4355837743044,-0.730513739555701
"27","2007-0553D.2","Enterolobium_cyclocarpum","2/24/2018",18.2769803548474,69.5559948672005,2.33835896350644
"28","X.2364A","Ficus_bengalensis","2/22/2018",82.4725604021262,141.429667478732,7.61810026783774
"29","X.5-149E","Ficus_bengalensis","2/17/2018",49.172653734799,79.070035814972,0.437890809297473
"30","90475A","Hamelia_patens","2/22/2018",77.301598948998,181.005427560608,8.79262120594889
"31","961478f*","Hamelia_patens","2/17/2018",82.9306463758195,161.856915429905,-0.299185826125782
"32","961478Q","Hamelia_patens","2/20/2018",67.8272953434702,167.504080877062,5.21793129430999
"33","2","Polyalthia_longifolia","2/17/2018",34.5371885358987,65.9009687449183,0.793647224039043
"34","85393b","Polyalthia_longifolia","2/17/2018",31.7051646540097,66.8724308484172,1.09210538995965
"35","85393b.2","Polyalthia_longifolia","2/17/2018",22.5900665576721,51.4939953258934,0.855335975473819
"36","2000511b","Psychotria_viridis","2/20/2018",33.3237960500204,99.8576358112379,8.6949177862029
"37","2000511G","Psychotria_viridis","2/17/2018",10.4901148843292,23.7694169352477,0.601608364348524
"38","9","Quercus_virginiana","2/24/2018",30.5293806606644,38.7751479688921,0.801645546711255
"39","9.2","Quercus_virginiana","2/24/2018",38.2880899128606,78.5338443873849,0.823621710088806
"40","94302E","Quercus_virginiana","2/22/2018",32.3728991725384,79.0253487991162,9.92664551717867
"41","9522A","Trachelospermum_jasminoides","2/24/2018",65.2055608076666,156.233542453108,0.493617496194383
"42","9522A.2","Trachelospermum_jasminoides","2/24/2018",74.5982998761187,157.223463312876,0.871004561119929
"43","9522B","Trachelospermum_jasminoides","2/24/2018",111.411483440652,224.03949915921,12.9298211818398
"44","9522B.2","Trachelospermum_jasminoides","2/24/2018",67.4654966955691,159.337365406395,3.06422162734994
"45","9522D","Trachelospermum_jasminoides","2/24/2018",68.3479253187386,156.448099718025,0.292459520549682
